params	mean_test_AUC	std_test_AUC	mean_test_Accuracy	std_test_Accuracy	rank_test_AUC
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 200}	0.8073544815279723	0.02561242261945494	0.9498092671589063	0.00110002888975372	232
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 300}	0.8092796909910367	0.024720160803050346	0.9500100703717578	0.0007489114417756415	207
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 50}	0.7964230967333298	0.01634054618768183	0.950010271779193	0.0007349678814122342	324
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 100}	0.8029086253217116	0.017757774928841657	0.9500100703717578	0.0003970504309379234	277
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 200}	0.8095084863425803	0.017663644010796255	0.9500100703717578	0.0003970504309379234	203
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 300}	0.8101118792029693	0.018721621645230193	0.9502108735846091	0.00048399233391007443	189
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 50}	0.801232180393673	0.02066019730090207	0.9500100703717578	0.0007489114417756415	284
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 100}	0.8045633483819643	0.0216288725147807	0.9500100703717578	0.0007489114417756415	271
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 200}	0.8111301402607609	0.020089348030948397	0.9502108735846091	0.00048399233391007443	182
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 300}	0.8113672449278017	0.0202195544036189	0.9502108735846091	0.00048399233391007443	177
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 50}	0.8006964012633324	0.02015196970148942	0.9502108735846091	0.00048399233391007443	293
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 100}	0.8090989599846805	0.01964105619571519	0.9502108735846091	0.00048399233391007443	210
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 200}	0.8112547861895092	0.021376565476613915	0.9502108735846091	0.00048399233391007443	180
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 300}	0.8122871565632444	0.02017421719822266	0.9502108735846091	0.00048399233391007443	147
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 50}	0.8052370560990647	0.022142749027659014	0.9502108735846091	0.00048399233391007443	264
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 100}	0.8116081512007657	0.019215984005205564	0.9502108735846091	0.00048399233391007443	165
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 200}	0.8166671356407434	0.020938334817822812	0.9502108735846091	0.00048399233391007443	80
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 300}	0.8184198513810823	0.02071161667203173	0.9502108735846091	0.00048399233391007443	65
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 50}	0.8052370560990647	0.022142749027659014	0.9502108735846091	0.00048399233391007443	264
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 100}	0.8116081512007657	0.019215984005205564	0.9502108735846091	0.00048399233391007443	165
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 200}	0.8166671356407434	0.020938334817822812	0.9502108735846091	0.00048399233391007443	80
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 300}	0.8184198513810823	0.02071161667203173	0.9502108735846091	0.00048399233391007443	65
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 50}	0.8079268730301438	0.02525364181696536	0.9502108735846091	0.00048399233391007443	222
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 100}	0.8130278258509112	0.021229993607275167	0.9502108735846091	0.00048399233391007443	135
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 200}	0.8166165104966284	0.02057519185367714	0.9502108735846091	0.00048399233391007443	84
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 300}	0.8165910655244414	0.021760836986081434	0.9502108735846091	0.00048399233391007443	86
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 6, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 50}	0.8148807078932847	0.021196185791765413	0.9502108735846091	0.00048399233391007443	112
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 6, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 100}	0.8213611219913199	0.02053282276904968	0.9502108735846091	0.00048399233391007443	34
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 6, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 200}	0.8229535864648249	0.019921328342123568	0.9502108735846091	0.00048399233391007443	22
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 6, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 300}	0.8231360750305065	0.019676735531408137	0.9502108735846091	0.00048399233391007443	16
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 6, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 50}	0.8148807078932847	0.021196185791765413	0.9502108735846091	0.00048399233391007443	112
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 6, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 100}	0.8213611219913199	0.02053282276904968	0.9502108735846091	0.00048399233391007443	34
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 6, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 200}	0.8229535864648249	0.019921328342123568	0.9502108735846091	0.00048399233391007443	22
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 6, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 300}	0.8231360750305065	0.019676735531408137	0.9502108735846091	0.00048399233391007443	16
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 6, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 50}	0.8148807078932847	0.021196185791765413	0.9502108735846091	0.00048399233391007443	112
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 6, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 100}	0.8213611219913199	0.02053282276904968	0.9502108735846091	0.00048399233391007443	34
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 6, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 200}	0.8229535864648249	0.019921328342123568	0.9502108735846091	0.00048399233391007443	22
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': None, 'randomforestclassifier__min_samples_leaf': 6, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 300}	0.8231360750305065	0.019676735531408137	0.9502108735846091	0.00048399233391007443	16
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 50}	0.8010377190473807	0.026502289779836992	0.9492070589277875	0.00048384211731228213	287
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 100}	0.8018460623877977	0.019822109679728413	0.949407862140639	0.0004795601963861527	283
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 200}	0.8080112670414481	0.019881878351778678	0.9498092671589065	0.0006353148451467538	221
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 300}	0.8100021690658531	0.020973803618853128	0.9498092671589065	2.0140743515684178e-05	191
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 50}	0.8024527013294094	0.019836320730906055	0.9500100703717578	0.0007489114417756415	279
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 100}	0.8065728354025371	0.020838048266827988	0.9498092671589065	0.0006353148451467538	248
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 200}	0.8097405940665332	0.019490200561171137	0.9498092671589065	0.0006353148451467538	199
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 300}	0.8121622410047757	0.01992585739586858	0.9498092671589065	0.0006353148451467538	150
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 50}	0.8086972610896386	0.021219175068153365	0.9500100703717578	0.0003970504309379234	216
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 100}	0.8151930983903816	0.020144995627296058	0.9502108735846091	0.00048399233391007443	107
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 200}	0.8189381432152976	0.01886654492790933	0.9502108735846091	0.00048399233391007443	61
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 300}	0.8177727644732455	0.01978303290468079	0.9502108735846091	0.00048399233391007443	70
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 50}	0.8119170223876045	0.028546278428981105	0.9496086653534903	0.0007405593911106669	159
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 100}	0.814924941200173	0.025222693909749152	0.9502108735846091	0.00048399233391007443	108
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 200}	0.8173877904573403	0.02187136774633179	0.9502108735846091	0.00048399233391007443	72
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 300}	0.8168720551393234	0.02200276335987468	0.9502108735846091	0.00048399233391007443	77
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 50}	0.8060144959006305	0.02425196366960591	0.9502108735846091	0.00048399233391007443	256
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 100}	0.8125243479783398	0.02094321061231515	0.9502108735846091	0.00048399233391007443	145
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 200}	0.8148160027744797	0.021077325822194324	0.9502108735846091	0.00048399233391007443	118
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 300}	0.8140607084208806	0.02117385045407895	0.9502108735846091	0.00048399233391007443	129
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 50}	0.8096572073623403	0.019133321039774054	0.9502108735846091	0.00048399233391007443	201
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 100}	0.8152876811064969	0.018801847585018842	0.9502108735846091	0.00048399233391007443	105
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 200}	0.819267414409991	0.01766747231870771	0.9502108735846091	0.00048399233391007443	56
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 2, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 300}	0.8185724933309017	0.018505360161350255	0.9502108735846091	0.00048399233391007443	64
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 50}	0.8161512876049286	0.017220338611469058	0.9502108735846091	0.00048399233391007443	90
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 100}	0.8199080300222988	0.020002889512849113	0.9502108735846091	0.00048399233391007443	48
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 200}	0.8205764482038711	0.019530114445305117	0.9502108735846091	0.00048399233391007443	43
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 300}	0.8204677585409815	0.019883199017521985	0.9502108735846091	0.00048399233391007443	45
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 50}	0.8161512876049286	0.017220338611469058	0.9502108735846091	0.00048399233391007443	90
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 100}	0.8199080300222988	0.020002889512849113	0.9502108735846091	0.00048399233391007443	48
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 200}	0.8205764482038711	0.019530114445305117	0.9502108735846091	0.00048399233391007443	43
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 300}	0.8204677585409815	0.019883199017521985	0.9502108735846091	0.00048399233391007443	45
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 50}	0.8122874621405565	0.02487080287722155	0.9502108735846091	0.00048399233391007443	146
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 100}	0.8181097564270445	0.018579107026951338	0.9502108735846091	0.00048399233391007443	69
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 200}	0.8190788536627294	0.019192348267918432	0.9502108735846091	0.00048399233391007443	57
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 4, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 300}	0.8199835224257163	0.019704632210549758	0.9502108735846091	0.00048399233391007443	47
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 6, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 50}	0.8239071115134851	0.015475132972581383	0.9502108735846091	0.00048399233391007443	7
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 6, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 100}	0.8241012657789539	0.01647399888239901	0.9502108735846091	0.00048399233391007443	4
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 6, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 200}	0.8243787234176327	0.018639965547804435	0.9502108735846091	0.00048399233391007443	1
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 6, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 300}	0.8233463612448692	0.02014459963627597	0.9502108735846091	0.00048399233391007443	10
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 6, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 50}	0.8239071115134851	0.015475132972581383	0.9502108735846091	0.00048399233391007443	7
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 6, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 100}	0.8241012657789539	0.01647399888239901	0.9502108735846091	0.00048399233391007443	4
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 6, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 200}	0.8243787234176327	0.018639965547804435	0.9502108735846091	0.00048399233391007443	1
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 6, 'randomforestclassifier__min_samples_split': 5, 'randomforestclassifier__n_estimators': 300}	0.8233463612448692	0.02014459963627597	0.9502108735846091	0.00048399233391007443	10
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 6, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 50}	0.8239071115134851	0.015475132972581383	0.9502108735846091	0.00048399233391007443	7
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 6, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 100}	0.8241012657789539	0.01647399888239901	0.9502108735846091	0.00048399233391007443	4
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 6, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 200}	0.8243787234176327	0.018639965547804435	0.9502108735846091	0.00048399233391007443	1
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 10, 'randomforestclassifier__min_samples_leaf': 6, 'randomforestclassifier__min_samples_split': 10, 'randomforestclassifier__n_estimators': 300}	0.8233463612448692	0.02014459963627597	0.9502108735846091	0.00048399233391007443	10
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 20, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 50}	0.770355209683124	0.018250674178581724	0.948002239650679	0.0011780783156520687	381
{'randomforestclassifier__bootstrap': True, 'randomforestclassifier__max_depth': 20, 'randomforestclassifier__min_samples_leaf': 1, 'randomforestclassifier__min_samples_split': 2, 'randomforestclassifier__n_estimators': 100}	0.7777412399841649	0.019862741811637514	0.9488054525020845	2.0543558385988092e-05	376
